Nome da Música,link,album,letra
Poconé,/skank/pocone.html,O Samba Poconé,"No forró do lengo lengo no forró bodó O dengo dessa menina é um perigo só No forró do lengo lengo no forró mundun O dengo dessa menina ainda mata um Todo mundo sabe que o meu fraco é mulher Uma coisa linda dessa faz de mim o que bem quer Minha boneca, boneca de Poconé Pra ganhar um beijo seu, eu vou até a pé Ela mora longe (eu vou até a pé) Ela mora na ponte (eu vou até a pé) Ela gosta do côco (como é que é) Ela mora no poco (no Poconé) Todo mundo acha que eu vivo como um rei Mas a minha solidão ainda não curei Minha boneca, boneca de Poconé Pra ganhar um beijo seu, eu vou até a pé"
Poeiras de Ilusão,/skank/poeiras-de-ilusao.html,,Ninguém sabe o que vai acontecer Eu só não quero que o destino ainda me leve Pra longe de você!  Ninguém sabe se na noite ouvirão Eu só não quero que o destino se engane E mude a direção  Sigo adiante Portões se fecham Mas eu preciso procurar  Tudo é possível Não te explico agora Porque eu não sei como será  Outras lendas já passaram por aqui Deixando rastros ou miragens traiçoeiras Poeiras da ilusão  Sonhos nascem da escuridão Pra gerar constelações Eu só queria te lembrar Estamos sós Quem acende a trilha toda somos nós  Sigo adiante Portões se fecham Mas eu preciso procurar  Tudo é possível Não te explico agora Porque eu não sei como será  Ninguém sabe o que vai acontecer Eu só não quero que o destino ainda me leve Pra longe de você!  Ninguém sabe se na noite ouvirão Eu só não quero que o destino se engane E mude a direção
Por Um Triz,/skank/por-um-triz.html,Cosmotron,Brandiu assim o ferro quente E seu rosto em minha mente Foi queimando feito cicatriz  Do corpo estreito quase ausente O cheiro ardido e transparente Era certo da questão o xis  Que o líquido fermente Se separem as sementes Ponham-se os pingos nos ís  Que a lente do amor aumente Faça em presença o que é ausente Porque só se vive por um triz  Só o amor pode juntar O que o desejo separou Não poderia ontem se Vestir de amanhã  Só o amor pode apagar O que o desejo rasurou Inventaria ontem Pra existir amanhã
Presença,/skank/presenca.html,Multishow Ao Vivo no Mineirão,"No sol que vai dourar Na noite mais escura iluminar No branco da espuma do verde do mar Ela é feito pluma solta no ar... E vem vindo é...  Meus dedos vão tocar Seus lábios vermelhos a minha boca beijar De olhos fechados só pra apimentar Desse outro mundo o segredo vou revelar  Está em tudo sempre onde vou Já não preciso... Procurar!  O seu presente eu sou Onde está presente eu vou O meu presente chegou Se ela está presente eu tô  No seu jeito de olhar Um pensamento livre vou imaginar No horizonte surge, não há lunar Num suspiro profundo a te desejar  Está comigo, eu levo onde vou Já não preciso... Procurar!  O seu presente eu sou Onde está presente eu vou O meu presente chegou Se ela está presente eu tô  É só me chamar que eu vou! Está em tudo sempre onde vou Já não preciso... Procurar  O seu presente eu sou Onde está presente eu vou O meu presente chegou Se ela está presente eu tô"
Presença (part. Emicida),/skank/presenca-com-emicida.html,,"No sol que vai dourar Na noite mais escura iluminar No canto da espuma do verde do mar Ela é feito pluma solta no ar  E vem vindo ela.. Meu dedos vão tocar Seus lábio vermelhos, na minha boca beijar De olhos fechados só pra inventar No sopro, no segredo Vou revelar...  Está em tudo sempre onde vou Já não preciso procurar!  O seu presente eu sou Onde está presente eu tô O meu presente chegou Se ela está presente eu vou...  Eu vou, eu vou.. Se ela está presente, eu vou  No seu jeito de olhar Um pensamento livre vou imaginar No horizonte surge, no luar, lunar Num suspiro profundo a te desejar...  Está comigo levo onde vou Já não preciso... procurar!  O seu presente eu sou Onde está presente eu tô O meu presente chegou Se ela está presente eu vou... Eu vou... Eu vou...  (Emicida) Tipo ""la belle de jour"" Coisa de pele, tru Classe como jameli, simples em timbres blue Louca, Iansã, num flamboyant, delícia Flan, hum, ok, sou fã E abusa, há Musa pra um tchatchatcha Recusa tá junto ao blablabla Ela mexe o cabelo, mexe a carteira E mexe com a cabeça dos caras da rua inteira Ilumina, sol. Sergipe, sai sem dar tchau Tipo velas do Mucuripe É o ritmo, mítico, crítico É o que não cabe em nenhum logarítmo E não cede Pede um lugar íntimo Pois carinho com um bom vinho a dois Devaneio do sexo oposto Faço gosto a imaginar do meu oposto Toda volúpia, eros volúsia manda E lembra terra boa à la Carmen Miranda  Está em tudo sempre onde vou Já não preciso... procurar!  O seu presente eu sou Onde está presente eu tô O meu presente chegou Se ela está presente eu vou... (2x)  Mexe o cabelo, mexe  Se ela está presente eu vou, eu vou É só me chamar, é só me chamar  Olha ela aí Olha ela aí  Ela mexe o cabelo É ela quem chegou Olha ela aí Olha ela aí Mexe a carteira É ela quem chegou  Olha ela aí Olha ela aí Mexe com a cabeça dos caras da rua inteira"
Preto Damião,/skank/preto-damiao.html,Maquinarama,"Ele chegou na ribeira Chegou ligadão Ah, ele sorriu e beijou dez vezes o chão Ele chegou sexta-feira Guitarra e wah wah Ah, ele sorriu e rezou Só pra começar  Preto aprendeu na marra Nas farras de Santana Teve visão pra aprender De um jeito que eu não sei  Parecia um caso de ficção Jimmy Hendrix no morro era o Preto Damião Johnny be good com legenda, uma lenda, é Tudo que os meninos sonham mas não podem ser Fazendo som, fazendo o bem, fazendo mais, muito mais Do que eles, do que tu e do que eu Inda dançava como cão, dando pulo pelo chão Parecia um discípulo de Orfeu  Ele tocava din gui don e gui don mei baião Com macumba e piscava pra você Ganhava a vida em Corumbá, Morro do Pilão e Maranhão E Louisiana e Manhattan no verão Só pra poder, só pra poder forjar a lâmina do som Passear a alma no campo da solidão E ver o dedo finalmente aprender A melodia que ninguém sabe fazer  Ele chegou na ribeira Chegou ligadão Ah, ele sorriu e beijou dez vezes o chão Ele chegou sexta-feira Guitarra e wah wah Ah, ele sorriu e rezou Só pra começar  Tudo começa na barriga da miséria Escravo da Nigéria, trisavô de Damião Chegou no tráfico do inglês, ou, talvez, holandês Pra servir o senhorio português Só pra dizer, só pra dizer que Damião aprendeu Nesse Rio submerso da esperança Se entrega, negão, eu não me entrego, não Vou buscar no mundo o que é meu"
Raça,/skank/raca.html,Skank 91,"Lá vem a força, lá vem a magia Que me incendeia o corpo de alegria Lá vem a santa maldita euforia Que me alucina, me joga e me rodopia  Lá vem o canto, o berro de fera Lá vem a voz de qualquer primavera Lá vem a unha rasgando a garganta A fome, a fúria, o sangue que já se levanta  De onde vem essa coisa tão minha Que me aquece e me faz carinho? De onde vem essa coisa tão crua Que me acorda e me põe no meio da rua?  É um lamento, um canto mais puro Que me ilumina a casa escura É minha força, é nossa energia Que vem de longe prá nos fazer companhia  É clementina cantando bonito As aventuras do seu povo aflito É seu francisco, boné e cachimbo Me ensinando que a luta é mesmo comigo  Todas marias, maria dominga Atraca vilma e tia hercília É monsueto e é grande otelo Atraca, atraca que o naná vem chegando"
Rebelião,/skank/rebeliao.html,Maquinarama,"Nem todo o arsenal das guarnições civis Nem trezentos fuzis m-16 Nem as balas do Clinton, as bulas do Papa Nem os tapas dos que guardam leis Nada disso vai fazer a gente acatar O absurdo o odio eterno desse lugar Décimo círculo do último inferno Infecto, sem luz, sem letra, sem lei E pronto pra queimar Inferno de Dante diante de cada um Da hora em que começa a manhã Até a hora em que a cela se esfria, suja e sombria E a lua livre meio que zomba de nós Nem todo o aparato da Santa Inquisição Nem a dancinha do padre na sua televisão Bi Babulina chegou com gasolina e colchão E a esperança é mato no coração E pronto pra queimar Não há solução, nem mesmo hipocrisia Não há qualquer sinal de melhorar um dia Se você não se importa eu vou dinamitar A porta, a porra dessa masmorra Nem a educação do colégio Rousseau Pode dar conta do que aqui se passa Flores do mal! Luz do horror! Farol da barra dessa desgraça Só serve pra queimar"
Renascença,/skank/renascenca.html,Estandarte,Quis sim mergulhar Mil vezes nesse mar Fui te procurar A rua inteira  Mil gols outros mais Fiz assim como um milagre Luz do seu olhar E vela acesa  Servi em humildade Mil e uma utilidades Corpo de escravo Pé da mesa  Supri necessidades Sumi desnecessário Sujo e covarde Seu brinquedo  Ri seu tenso lábio Ri assim com medo  frágil Tudo é verdade Pra vista alheia  Vida eternidade Fim mortalidade Sonho acordado Renascença  Mas isso acabou Vou te matar De amor
Resposta,/skank/resposta.html,Multishow Ao Vivo no Mineirão,Bem mais que o tempo Que nós perdemos Ficou prá trás Também o que nos juntou...  Ainda lembro Que eu estava lendo Só prá saber O que você achou Dos versos que eu fiz Ainda espero Resposta...  Desfaz o vento O que há por dentro Desse lugar Que ninguém mais pisou...  Você está vendo O que está acontecendo Nesse caderno Sei que ainda estão...  Os versos seus Tão meus que peço Nos versos meus Tão seus que esperem Que os aceite...  Em paz eu digo que eu sou O antigo do que vai adiante Sem mais eu fico onde estou Prefiro continuar distante...  Bem mais que o tempo Que nós perdemos Ficou prá trás Também o que nos juntou...  Ainda lembro Que eu estava lendo Só prá saber O que você achou...  Dos versos seus Tão meus que peço Dos versos meus Tão seus que esperem Que os aceite...  Em paz eu digo que eu sou O antigo do que vai adiante Sem mais eu fico onde estou Prefiro continuar distante...(2x)  Desfaz o vento O que há por dentro Desse lugar Que ninguém mais pisou...  Você está vendo O que está acontecendo Nesse caderno Sei que ainda estão...  Os versos seus Tão meus que peço Nos versos meus Tão seus que esperem Que os aceite...  Em paz eu digo que eu sou O antigo do que vai adiante Sem mais eu fico onde estou Prefiro continuar distante...(3x)
Respuesta,/skank/respuesta.html,,"Deshace el tiempo lo que perdimos y mas que eso lo que nos unió Aun recuerdo que estaba leyendo para saber si te gustaron o no Los versos que hice y aun espero respuesta  Deshace el viento lo que hay por dentro de ese lugar que nadie más pisó tú estás viendo lo que está sucediendo en algún canto se que aun están Los versos tuyos tan míos que pido en mis versos mudos, tan tuyos Que espero que los guardes  En paz te digo lo que soy Contigo del que va adelante Sin más te quiero a donde estoy Prefiero continuar distante.  Deshace el tiempo lo que perdimos y más que eso lo que nos unió Aun recuerdo que estaba leyendo para saber si te gustaron o no Los versos tuyos tan míos que pido en mis versos mudos, tan tuyos Que espero que los guardes  En paz te digo lo que soy Contigo del que va adelante Sin más te quiero a donde estoy Prefiero continuar distante."
Resta Um Pouco Mais,/skank/resta-um-pouco-mais.html,Cosmotron,Se você esqueceu meus nomes Comece a guardar cada madrugada que eu te dei Mas resta um pouco mais Navios colossais que nunca deixaram o cais Um pouco mais Naufrágio de estrelas no céu Uma razão cega pra viver E um arbusto na praia ao léu Se você esqueceu meus erros Revele pra mim onde foi que eu desapareci Mas restam nestes vãos As cinzas que irão tornar-se a tela de minha alma Um pouco mais Um corpo caído nas mãos Silenciosas de uma mulher E um tumulto no coração Mas quando os meus olhos Vão por aí Levam junto os teus
Réu E Rei,/skank/reu-e-rei.html,Skank 91,"Desde que você disse nem Saber quem foi John Coltrane E Noel Rosa era alguém Que seus tios gostavam bem  Eu te amo desde que Anjo caído cai Desde quando nem vi A sombra do amor ali  Desde que não fugimos Pras ilhas de sal, pros cimos De neve que nunca vimos Desde que nada infrigimos  Aquela tenda que não houve Beijo nenhum a boca soube Amor ao léu sem quem o louve Cego que vê,surdo que ouve  Quantos pais eu já matei Ao mesmo tempo réu e rei A lua, o quarto, me deito, me dei Por perdido assim que te achei"
Rio Beautiful,/skank/rio-beautiful.html,Velocia,"Teu olhar é Rio Beautiful Brilho dos corais, ou mais Risos sazonais, brigas temporais Faíscas de amores temperamentais  Teu abraço guia é Sol da Bahia de toda fé Benção de pajé, brilho de igarapé Sorte arruda da Guiné  Teu não é frio do sul Manhã sem bonjour Apagão de medo e solidão Quero a linha da minha vida em sua mão  O esquema, o lema é ser seu par Postar uma cena pra se guardar Cinema, mentiras de bar, você sem ar Eu rouco de tanto gritar - Quero você aqui"
Romance Noir,/skank/romance-noir.html,Siderado,Fim de Semana Fim de Tarde Eu mexo o gelo do copo com o dedo Melhor sozinho até porque... A Solidão é uma velha amiga  As Persianas clichezadas Não filtram a poeira dourada não... esse escritório as vezes dá a impressão De um pardieiro suspeito  Longa Avenida eu sei Mas eu preciso encontrar... Outra saída eu sei Para esse Romance Noir  A Sombra entra lentamente Enquanto o transito ecoa distante Não sei porque ela insiste... Mas não vou... não vou... Pensar nisso agora  Como também não vou pensar Que o Amor tem seus próprios fios A Chuva desce com trovões E da janela observo a fiação  Longa Avenida eu sei Mas eu preciso encontrar Outra saída eu sei Para esse Romance Noir  Fim de Semana Fim de Tarde Eu mexo o gelo do copo com o dedo Melhor sozinho até porque... A Solidão é uma velha amiga  As Persianas clichezadas Não filtram a poeira dourada não... esse escritório as vezes dá a impressão De um pardieiro suspeito  Longa Avenida eu sei Mas eu preciso encontrar... outra saída eu sei Para esse Romance Noir
Saideira,/skank/saideira.html,Multishow Ao Vivo no Mineirão,"Tem um lugar diferente Lá depois da saideira Quem é de beijo, beija Quem é de luta, capoeira Tem um lugar diferente Lá depois da saideira Tem homem que vira macaco E mulher que vira freira  Comandante! Capitão! Tio! Brother! Camarada ! Chefia! Amigão! Desce mais uma rodada Comandante! Capitão! Tio! Brother! Camarada! Chefia! Amigão! Desce mais uma rodada  Desce mais Desce mais  Tem um lugar diferente Lá depois da saideira Tem bandeira que recolhe Tem bandeira que hasteia Tem um lugar diferente Lá depois da saideira É tomando uma gelada Que se cura a bebedeira  Comandante! Capitão! Tio! Brother! Camarada! Chefia! Amigão! Desce mais uma rodada Comandante! Capitão! Tio! Brother ! Camarada ! Chefia! Amigão! Desce mais uma rodada  Tem um lugar diferente Lá depois da saideira Quem é de beijo, beija Quem é de luta, capoeira  Tem um lugar diferente Lá depois da saideira Tem homem que vira macaco E mulher que vira freira  Comandante! Capitão! Tio! Brother! Camarada! Chefia! Amigão! Desce mais uma rodada Comandante! Capitão! Tio! Brother! Camarada! Chefia! Amigão! Desce mais uma rodada"
Salto No Asfalto,/skank/salto-no-asfalto.html,Skank 91,"Sabe mais do reino aonde vai Viu peixe tubarão Coisa que não era pra ver Labirinto na cabeça Se sufocou na multidão Corre atrás do amor de bar em bar Do céu de uma paixão Ao inferno de um novo prazer Mil idéias na cabeça Pra sufocar a solidão Nem ao menos tentou Se redimir dos erros Não parou pra pensar Se foi bom ou ruim Inútil persistir,inútil desistir Sentiu seu salto no asfalto O vento na perna, embaixo da saia A blusa meio aberta, branca Sorriu, mas não sabe pra onde "
Sam,/skank/sam.html,Calango,"Chuva sobre chuva, noite e dia só chovia E eu descia para a rua No meio da avenida um amigo me via Aonde você vai, Sam? Vou ali, depois te conto Aonde você Sam? Vou ali  Chuva tão sem graça, tudo que aborrece passa Logo o sol ensolarava Passando pela praça uma gata me mata Aonde você vai, Sam? Vou ali depois te beijo Aonde você Sam? Vou ali  Um pregador me pega Me prega o seu asco, um saco E eu já tava no inferno Um pregador moderno Blusão de couro em vez de terno Aonde você vai, filho? Vou ali, depois me humilho Aonde você vai,Sam? Os dias são muitos Aonde você vai, Well? Podemos ir juntos  Aonde você sam? Aonde você Well?  Cineclube á tarde, filme de Godard e Bergman Nunca mais vou esquecer Te conheci na vida, te conheci num fim de ano Aonde você vai, Sam? Vou ali, depois te amo Aonde você vai, Sam? Vou ali  Baixo é guitarra, noite e dia só farra Que saudade de uma missa No adro da igreja meu amor se divertia Aonde você vai, Sam? Vou ali e volto um dia! Aonde você vai,Sam? Os dias são muitos Aonde você vai, Well? Podemos ir juntos  Aonde você vai,Sam? Os dias são muitos Aonde você vai, Well? Podemos ir juntos!  Aonde você vai,Sam? Aonde você vai,Sam?"
Sambatron,/skank/sambatron.html,Cosmotron,"Pode ser que seja normal Pode ser o início do fim Se você disser que o samba é esse Tomara que sim Eu estava por aí Meio assim paixão residual Eu estava à espera do final Do juízo sobre nós  Eu estava por aqui Bem assim, depois do carnaval Eu estava à espera do final Do juízo sobre mim  Eu estava bem aqui Nessa ilha artificial Eu estava à espera do final Do juízo sobre o mal  Eu estava à espera do final Do juízo sobre mim Eu estava à espera do final Do juízo sobre o mal  Para quem tem dois ouvidos E não consegue entender Para quem tem duas mãos E, não, não consegue doar Para quem tem dois pulmões E ainda assim falta ar  Para quem tem sexo E sexo só não faz gozar  Para quem tem duas pernas E não consegue chegar Para quem tem olhos, dois E não consegue enxergar Para quem tem coração E nunca vai saber amar Para quem só dá valor Quando se pode comprar  É pau é pó é pedra, é o problema crônico É o samba eletrônico, é o sério e o cômico O mudo e o afônico, é o mundo atômico É o saco sem fundo sem nexo do mundo, eu sei  Laia badaia sabadana ave-maria É pau é pedra é toda alvenaria, eu sei"
Saturação,/skank/saturacao.html,Estandarte,"A manhã se oferece qual maçã Sobre um mar de alumínio A menina tão leve, leve e sã Já mediu seus domínios  A manhã aparece nos jornais Editada e branca Página de assuntos culturais E o trânsito estanca  A manhã se acende qual farol Sobre as águas do mangue A beleza desliza sobre o sol Sempre acesa no sangue  Um terreno saturado Como tantos pelo mundo Um terreno saturado E no mangue o bang bang  A menina parece minha irmã Inocente e bonita A manhã como todas as manhãs Não se apressa, não se alarma, não se agita  Um terreno saturado Como tantos pelo mundo Um terreno saturado Na saída da cidade"
Sem Terra,/skank/sem-terra.html,O Samba Poconé,"Tenente Gama estará na barra do Brooklin atento Zé da Navalha na boca do rio Urutu Quatro patrulhas vão cobrindo os quatrorizonte Nego DJ Adílio leva o rádio  Aurili bon bonga A cobra vai pular Aurili bon bonga Permiso, êêêêêê!  Eles pitimbam, negarfam, então hão de ter Bate o bongô, drum machine, bate o xequerê Batecumã nego véi de guerra Colono branco e a lua estratagema  Aurilibilim bajé pajé pai chamou No cabo do teletrônico mensageou  Na terra dos sem-terra A barra vai pesar Quem ignora erra Quem quer ignorar  Sofrer o baque todos eles já sofreram No Paraná, no Pará, no Espírito Santo Bate imigrante nego véi de guerra Quebratabaque o atraso, o quebranto  Na terra dos sem-terra A barra já pesou Quem ignora erra Quem ignora errou"
Seus Passos,/skank/seus-passos.html,Carrossel,"E quando caio do seu bolso Escorrego pelo rosto Nossos beijos e palavras Ficam soltos no lugar  E o que dizer desse segundo Distraído do olhar Que no infinito corre mundo Onde o céu encontra o mar  Nesse jogo de reflexo A certeza me distrai Seu desejo é meu início E eu estou tão perto agora, eu sei  Você vai dizer que não Eu sigo seus passos A caminho do meu coração  Uma curva, não um risco Alegria é como um vício Nesse livro nossa história Estampada em seu olhar  Nesse jogo de reflexo A certeza não nos trai Seu desejo é meu início E eu estou tão perto agora, eu sei  Você vai dizer que não Eu sigo seus passos A caminho do meu coração Você vai dizer que não Eu sigo seus passos O caminho é meu coração"
Siderado,/skank/siderado.html,Siderado,"Porque eu te espero na neblina Porque eu te espero no saguão Aeroporto ou esquina E no sol do verão No fim do mundo Porque eu te espero no cerrado ou na cidade invadida Perdido de amor, siderado No final na saída No poço fundo Porque eu te espero nas manhãs De nuvens só feitas de lãs Se duvidar Eu tenho mais de um mar De provas Se duvidar Eu tenho mais de um mar Se duvidar Eu tenho mais de um mar De provas Se duvidar Eu tenho mais de um mar Porque eu te espero no aterro Porque eu te espero diga quando Por certo Soho ou é Serro E a noite passando num segundo Porque eu te espero ali também Na última linha desse trem Se duvidar Eu tenho mais de um mar De provas Se duvidar Eu tenho mais de um mar Se duvidar Eu tenho mais de um par De trovas Se duvidar Eu tenho mais de um mar Fiz essa canção faltando alguém, quem Fiz essa canção sem opção, sei Fiz essa canção porque me falta alguém Fiz essa canção de coração, sei Porque eu te espero nas manhãs De nuvens só feitas de lãs Se duvidar Eu tenho mais de um mar De provas Se duvidar Eu tenho mais de um mar Se duvidar Eu tenho mais de um par De trovas Se duvidar Eu tenho mais de um mar"
Simplesmente (Part. Roberta Campos),/skank/simplesmente-part-roberta-campos.html,,Simplesmente posso esperar aqui por você Uma eternidade Uma tarde inteira  Simplesmente posso encontrar qualquer distração Ruas da cidade Restos de uma feira  Tomo um atalho lá só pra te perder Enquanto olho os aviões Nada tremeu no ar Não vi nenhum sinal Mesmo assim eu posso esperar  Até deixar um recado na tarde Uma simples saudade Que você vai sentir Quando sentar-se à mesa Uma simples certeza Que agora é você Quem espera por mim  Simplesmente posso esquecer Da guerra ou da paz Uma eternidade Uma tarde inteira  Calmamente posso contar As nuvens no céu Rostos na vidraça Flores dessa praça  Desço a consolação Só pra consentir Leio mensagens por aí Nada tremeu no ar Não vi nenhum sinal Mesmo assim eu posso esperar Mesmo assim eu posso esperar  Até deixar um recado na tarde Uma simples saudade Que você vai sentir Quando sentar-se à mesa Uma simples certeza  Até deixar um recado na tarde Uma simples saudade Que você vai sentir Quando sentar-se à mesa Uma simples certeza Que agora é você Quem espera por mim
Sul da América,/skank/sul-da-america.html,O Samba Poconé,"Sol nasceu E ninguém que eu saiba morreu Ninguém me viu lá embaixo Só no riacho  Sul da América Um ponto luminoso Entre milhões um ponto lá Chamado amor  Aurora joga o anzol sobre nós Vamos cantar o amor do sol O sol que volta no varal Do horizonte extenso,nacional  Pedimos o fim da guerra civil Pedimos e podemos isso Pedimos um café pra tocar Pedimos fé no Brasil  Sol nasceu E ninguém que eu saiba morreu Ninguém me viu lá embaixo Só no riacho  É tanta cidade que eu já passei É tanto nome que não lembrei É magoa antiga que não que eu não rezei Pra não voltar nessa hora boreal  Há muito tempo que eu ""tô"" na estrada Já vi planícies ensolaradas Já vi baías, rios, planaltos E todo o amor é salto vertical  Sol nasceu E ninguém que eu saiba morreu Ninguém me viu lá embaixo Só no riacho  Um dia isso vai ter que passar Um dia eu volto pro meu lugar Há sempre alguém a nos esperar Um dia eu volto eu volto volto pra lá  Dormindo no chão do aeroporto Como se eu fôra um poeta morto Aero acesa a minha esperança Que hoje me alcança, diagonal.  Sol nasceu E ninguém que eu saiba morreu Ninguém me viu lá embaixo Só no riacho  Sul da América Um ponto luminoso Entre milhões um ponto lá Chamado amor"
Supernova,/skank/supernova.html,Cosmotron,"É nítido, direto e inquietante Eu diria totalmente extravagante Nosso amor é agressivo no seu ímpeto lascivo De amizade escarnada no desejo  Não tem calma o forte sim da tua presença Fecundando minha mente e o fundo desse poço Onde me jogo simplesmente por esporte boêmio Mas é tão sério e maluco tá por um fio de tensão  No universo das paixões Amor assim é supernova Certeiro na veia da carne Da alma, na carne d'alma  Nosso amor é agressivo no seu ímpeto lascivo De amizade escarnada no desejo Obtém aquele máximo poder de um casal Que é só mesmo destino de um pro outro  No universo das paixões Amor assim é supernova Certeiro na veia da carne Da alma, na carne d'alma"
Sutilmente,/skank/sutilmente.html,Rock In Rio ao vivo,E quando eu estiver triste Simplesmente me abrace E quando eu estiver louco Subitamente se afaste E quando eu estiver fogo Suavemente se encaixe Ah ahn  E quando eu estiver triste Simplesmente me abrace E quando eu estiver louco Subitamente se afaste E quando eu estiver bobo Sutilmente disfarce...é Mas quando eu estiver morto Suplico que não me mate (não) Dentro de ti Dentro de ti  Mesmo que o mundo acabe enfim Dentro de tudo que cabe em ti  Mesmo que o mundo acabe enfim Dentro de tudo que cabe em ti  E quando eu estiver triste Simplesmente me abrace E quando eu estiver louco Subitamente se afaste  E quando eu estiver bobo Sutilmente disfarce...é Mas quando eu estiver morto Suplico que não me mate (não) Dentro de ti Dentro de ti  Mesmo que o mundo acabe enfim Dentro de tudo que cabe em ti  Mesmo que o mundo acabe enfim Dentro de tudo que cabe em ti Ah ahn  Mesmo que o mundo acabe enfim Dentro de tudo que cabe em ti  Mesmo que o mundo acabe enfim Dentro de tudo que cabe em ti
Tanto (I Want You),/skank/tanto-i-want-you.html,Multishow Ao Vivo no Mineirão,"Coveiros gemem tristes ais E realejos ancestrais juram que Eu não devia mais querer você Os sinos e os clarins rachados Zombando tão desafinados Querem,eu sei,mas é pecado Eu te perder  É tanto,é tanto Se ao menos você soubesse Te quero tanto  Políticos embriagados Dançando em guetos arruinados E os profetas desacordados A te ouvir Eu sei que eles vem tomar meu Drinque em meu copo a trincar E me pedir pra te deixar partir  É tanto,é tanto Se ao menos você soubesse Te quero tanto  Todos meus pais querem me dar Amor que há tempos não está lá E suas filhas vão me deixar Por isso não me preocupar Eu voltei pra minha sina Contei pra uma menina Meu medo só termina estando ali Ela é suave assim E sabe quase tudo de mim Ela sabe onde eu Queria estar enfim  É tanto, é tanto Se ao menos você soubesse Te quero tanto  Mas seu dândi vai De paletó chinês Falou comigo mais de uma vez Não, eu sei, não fui muito cortês Com ele,não Isso, porque ele mentiu, porque Te ganhou e partiu Porque o tempo consentiu Ou se não porque  É tanto, é tanto Se ao menos você soubesse Te quero tanto É tanto Se ao menos você soubesse Te quero tanto"
Tão Seu,/skank/tao-seu.html,Multishow Ao Vivo no Mineirão,"Eu sinto sua falta Não posso esperar tanto tempo assim O nosso amor é novo É o velho amor ainda e sempre  Não diga que não vem me ver De noite eu quero descansar Ir ao cinema com você Um filme à toa no pathé  Que culpa a gente tem de ser feliz? Que culpa a gente tem, meu bem? O mundo bem diante do nariz Feliz aqui e não além...  Refrão : Me sinto só, me sinto só Eu me sinto tão seu... Me sinto tão, me sinto só E sou teu Me sinto só, me sinto só Eu me sinto tão seu Me sinto tão, me sinto só E sou teu  Eu faço tanta coisa Pensando no momento de te ver A minha casa sem você é triste A espera arde sem me aquecer  Não diga que você não volta Eu não vou conseguir dormir À noite eu quero descansar Sair à toa por aí...  Refrão  Me sinto só, me sinto só Eu me sinto tão seu... Me sinto tão, me sinto só E sou teu Me sinto só, me sinto só Eu me sinto tão seu Me sinto tão, me sinto só E sou teu   Sinto sua falta Não posso esperar tanto tempo assim O nosso amor é novo É velho amor ainda e sempre  Que culpa a gente têm de ser feliz ? Eu digo eles ou nós dois O mundo bem diante do nariz Feliz agora e não depois...  Refrão Me sinto só, me sinto só Eu me sinto tão seu... Me sinto tão, me sinto só E sou teu Me sinto só, me sinto só Eu me sinto tão seu Me sinto tão, me sinto só E sou teu"
Te Quiero Probar,/skank/te-quiero-probar.html,,"En este Aqui en este mundito cerrado ella es increible, con su vestido negro indefectible detesto el modo de ella pero pensando bien, ella se amolda a mis sueños muy bien  Beat it laun, daun daun Beat it loom, dap´n daun Beat it laun, baun baun  conoce te a ti mismo que yo me entiendo soy un alguien vulgar, no lo que estan diciendo. y finjo que no finjo al ignorar que ella me domina en el primer ojear  Beat it laun, daun daun Beat it loom, dap´n daun Beat it laun, baun baun   yo te quiero probar sin miedo y sin amor te quiero probar por que ella vierte un banquete un manjar un angel con vestido una libido de matar  ella es tan vistosa que tal vez sea impostura quien diera que yo fuera un loco, un cara dura  conoce te a ti mismo que yo me entiendo soy un alguien vulgar, no lo que estan diciendo. y finjo que no finjo al ignorar que ella me domina en el primer ojear  Beat it laun, daun daun Beat it loom, dap´n daun Beat it laun, baun baun  yo te quiero probar sin miedo y sin amor te quiero probar  yo te quiero probar cocida avapor te quiero probar  y ella somba somba..menea con el pelo...  Aqui en este mundito cerrado ella es increible, con su vestido negro indefectible detesto el modo de ella pero pensando bien, ella se amolda a mis sueños muy bien  Beat it laun, daun daun Beat it loom, dap´n daun Beat it laun, baun baun  yo te quiero probar sin miedo y sin amor te quiero probar  yo te quiero probar cocida avapor te quiero probar  Beat it laun, daun daun Beat it loom, dap´n daun Beat it laun, baun baun   y ella somba somba somba, menea con el pelo..."
Te Ver,/skank/te-ver.html,Multishow Ao Vivo no Mineirão,"Te ver e não te querer É improvável, é impossível Te ter e ter que esquecer É insuportável, é dor incrível (2x)  É como mergulhar num rio e não se molhar É como não morrer de frio no gelo polar É ter o estômago vazio e não almoçar É ver o céu se abrir no estio e não se animar  Te ver e não te querer É improvável, é impossível Te ter e ter que esquecer É insuportável, é dor incrível  É como esperar o prato e não salivar Sentir apertar o sapato e não descalçar É ver alguém feliz de fato sem alguém pra amar É como procurar no mato estrela do mar  Te ver e não te querer É improvável, é impossível Te ter e ter que esquecer É insuportável, é dor incrível  É como não sentir calor em Cuiabá Ou como no Arpoador não ver o mar É como não morrer de raiva com a política Ignorar que a tarde vai vadia e mítica É como ver televisão e não dormir Ver um bichano pelo chão e não sorrir É como não provar o néctar de um lindo amor Depois que o coração detecta a mais fina flor  Te ver e não te querer É improvável, é impossível Te ter e ter que esquecer É insuportável, é dor incrível"
